Time, hey, pressure
0.0340002,1.00627,0.889453
0.075,0.979688,0.903149
0.123,1.00547,0.903149
0.169,0.980493,0.915234
0.22,1.00547,0.890259
0.279,0.979688,0.903149
0.33,1.00547,0.953906
0.38,0.980493,0.91604
0.431,1.00627,0.953906
0.482,0.979688,0.902344
0.533,1.00627,0.903149
0.587,0.992578,0.928931
0.638,1.00547,0.928931
0.688,0.992578,0.864478
0.739,1.00547,0.941016
0.791,0.992578,0.889453
0.841,1.00547,0.91604
0.894,1.00547,0.941016
0.944,0.992578,0.928931
0.994,1.00547,0.902344
1.044,0.979688,0.915234
1.095,1.00627,0.941821
1.145,0.992578,0.91604
1.195,1.00627,0.953906
1.247,0.979688,0.91604
1.297,1.00547,0.941821
1.348,0.980493,0.928931
1.399,1.00547,0.966797
1.45,0.980493,0.928931
1.51,1.00627,0.953906
1.56,0.979688,0.941821
1.611,0.980493,0.889453
1.661,1.00627,0.915234
1.711,0.979688,0.928931
1.762,1.00627,0.941821
1.813,0.979688,0.91604
1.903,1.00547,0.941016
1.954,0.980493,0.91604
2.005,1.00627,0.941821
2.056,0.980493,0.928125
2.106,1.00547,0.903149
2.157,0.979688,0.903149
2.212,1.00547,0.941016
2.263,1.00547,0.928931
2.313,0.979688,0.902344
2.364,1.00627,0.928125
2.415,0.979688,0.915234
2.466,1.00627,0.928125
2.517,0.980493,0.903149
2.568,1.00627,0.953906
